date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:37	104122/104122	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2019:43:30%20GMT	https://validthemes.live/themeforest/examin/index.html	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/index.html	(from )
13:50:39	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jun%202023%2012:50:39%20GMT	https://validthemes.live/robots.txt		(from )
13:50:39	1970/1970	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Dec%202018%2020:24:42%20GMT	https://validthemes.live/themeforest/examin/assets/img/favicon.png	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/img/favicon.png	(from https://validthemes.live/themeforest/examin/index.html)
13:50:42	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/bootstrap.min.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/bootstrap.min.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:44	45633/45633	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/font-awesome.min.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/font-awesome.min.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:45	2779/2779	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Dec%202018%2023:22:30%20GMT	https://validthemes.live/themeforest/examin/assets/css/flaticon-set.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/flaticon-set.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:45	26593/26593	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Feb%202021%2003:11:52%20GMT	https://validthemes.live/themeforest/examin/assets/css/elegant-icons.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/elegant-icons.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:46	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/magnific-popup.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/magnific-popup.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:47	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/owl.carousel.min.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/owl.carousel.min.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:48	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/owl.theme.default.min.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/owl.theme.default.min.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:49	69727/69727	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/animate.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/animate.css	(from https://validthemes.live/themeforest/examin/index.html)
13:50:50	56394/56394	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Sep%202021%2023:07:10%20GMT	https://validthemes.live/themeforest/examin/assets/css/bootsnav.css	/Users/macbook/websites/vc-school-template/validthemes.live/themeforest/examin/assets/css/bootsnav.css	(from https://validthemes.live/themeforest/examin/index.html)
